C_NAME,TOTAL_SALES
Customer#000086825,1788170.15
Customer#000060341,1788160.75
Customer#000105950,1788095.65
Customer#000091907,1788077.94
Customer#000030245,1788077.43
Customer#000074174,1788059.94
Customer#000093571,1788008.89
Customer#000086660,1787958.02
Customer#000093248,1787939.74
Customer#000100388,1787927.06
Customer#000027032,1787921.35
Customer#000046901,1787904.58
Customer#000132434,1787839.43
Customer#000053770,1787799.30
Customer#000070325,1787699.98
Customer#000137828,1787677.87
Customer#000023228,1787642.26
Customer#000019148,1787577.19
Customer#000030020,1787573.69
Customer#000123773,1787572.67
Customer#000144575,1787543.95
Customer#000032903,1787528.87
Customer#000036245,1787525.58
Customer#000031454,1787483.84
Customer#000000224,1787477.93
Customer#000056095,1787457.51
Customer#000112526,1787448.85
Customer#000058787,1787443.13
Customer#000020081,1787382.47
Customer#000034223,1787357.81
Customer#000048785,1787338.67
Customer#000133106,1787282.32
Customer#000004847,1787280.70
Customer#000066701,1787272.13
Customer#000059323,1787264.78
Customer#000042557,1787261.09
Customer#000021913,1787245.46
Customer#000145612,1787244.90
Customer#000121244,1787240.06
Customer#000102410,1787211.27
Customer#000095072,1787207.58
Customer#000144836,1787191.91
Customer#000111347,1787168.60
Customer#000035278,1787164.80
Customer#000137650,1787137.09
Customer#000131542,1787136.70
Customer#000049622,1787089.51
Customer#000128549,1787034.34
Customer#000146810,1787021.32
Customer#000128921,1787012.57
Customer#000066257,1786967.41
Customer#000146375,1786961.69
Customer#000057725,1786934.82
Customer#000080177,1786918.95
Customer#000076412,1786917.17
Customer#000027524,1786906.40
Customer#000066905,1786893.07
Customer#000113264,1786887.00
Customer#000085700,1786859.72
Customer#000077174,1786847.77
Customer#000040223,1786816.57
Customer#000073490,1786786.73
Customer#000132130,1786784.80
Customer#000115505,1786754.87
Customer#000072953,1786745.81
Customer#000135698,1786726.26
Customer#000147140,1786684.49
Customer#000049952,1786678.71
Customer#000147416,1786663.75
Customer#000050689,1786658.65
Customer#000073076,1786642.62
Customer#000081487,1786568.57
Customer#000149585,1786486.68
Customer#000070246,1786453.80
Customer#000020473,1786419.33
Customer#000068344,1786402.18
Customer#000063698,1786388.12
Customer#000077126,1786382.01
Customer#000148706,1786365.78
Customer#000147587,1786364.95
Customer#000008180,1786323.33
Customer#000005525,1786319.75
Customer#000063866,1786312.01
Customer#000024194,1786293.30
Customer#000016733,1786276.66
Customer#000094523,1786256.20
Customer#000121325,1786254.37
Customer#000115013,1786244.15
Customer#000047795,1786177.78
Customer#000033040,1786142.10
Customer#000015341,1786130.14
Customer#000083578,1786041.07
Customer#000003698,1786016.59
Customer#000015178,1785918.15
Customer#000008270,1785917.90
Customer#000010124,1785904.85
Customer#000062527,1785889.78
Customer#000095921,1785873.78
Customer#000012191,1785809.75
Customer#000004726,1785736.74
Customer#000119747,1785723.06
Customer#000002414,1785657.89
Customer#000120020,1785652.39
Customer#000096722,1785642.01
Customer#000090551,1785595.94
Customer#000046660,1785580.97
Customer#000127091,1785570.29
Customer#000056392,1785523.54
Customer#000099971,1785472.70
Customer#000103226,1785451.67
Customer#000040438,1785417.91
Customer#000010190,1785409.16
Customer#000018233,1785348.31
Customer#000018752,1785283.28
Customer#000149858,1785278.22
Customer#000079445,1785258.77
Customer#000146867,1785256.20
Customer#000132578,1785238.54
Customer#000058009,1785227.52
Customer#000023599,1785201.04
Customer#000071050,1785187.27
Customer#000062549,1785143.26
Customer#000118907,1785138.65
Customer#000133052,1785136.72
Customer#000055868,1785072.85
Customer#000142579,1785058.46
Customer#000132695,1784967.41
Customer#000117674,1784963.90
Customer#000051374,1784825.02
Customer#000031097,1784723.15
Customer#000017987,1784667.01
Customer#000099695,1784630.82
Customer#000053033,1784599.94
Customer#000126101,1784548.58
Customer#000098387,1784545.18
Customer#000121352,1784523.77
Customer#000012023,1784512.07
Customer#000118742,1784486.78
Customer#000061007,1784478.61
Customer#000011819,1784372.84
Customer#000062651,1784250.31
Customer#000129830,1784234.41
Customer#000100712,1784206.93
Customer#000075799,1784197.16
Customer#000093940,1784176.70
Customer#000004106,1784128.00
Customer#000113432,1784118.11
Customer#000061804,1784057.64
Customer#000123152,1784029.58
Customer#000052271,1783920.74
Customer#000031880,1783919.71
Customer#000125357,1783717.84
Customer#000040280,1783716.15
Customer#000061021,1783705.09
Customer#000120101,1783700.53
Customer#000062584,1783690.04
Customer#000009692,1783664.71
Customer#000022706,1783648.77
Customer#000097970,1783648.23
Customer#000122072,1783621.29
Customer#000011285,1783590.46
Customer#000101996,1783571.95
Customer#000008665,1783362.26
Customer#000121648,1783342.08
Customer#000050069,1783284.48
Customer#000143894,1783265.90
Customer#000088067,1783229.28
Customer#000084356,1783196.25
Customer#000039260,1783174.41
Customer#000120833,1783173.68
Customer#000079934,1783074.46
Customer#000094847,1782975.68
Customer#000138218,1782945.07
Customer#000112447,1782944.81
Customer#000042904,1782896.79
Customer#000011237,1782848.82
Customer#000129493,1782765.93
Customer#000050630,1782750.37
Customer#000114779,1782733.77
Customer#000100565,1782706.61
Customer#000013963,1782689.12
Customer#000018142,1782677.98
Customer#000142391,1782645.28
Customer#000007775,1782610.51
Customer#000144269,1782608.32
Customer#000131015,1782595.12
Customer#000130987,1782582.25
Customer#000053222,1782544.27
Customer#000041422,1782543.55
Customer#000028571,1782511.14
Customer#000085784,1782501.00
Customer#000148940,1782454.15
Customer#000084323,1782413.32
Customer#000042686,1782390.93
Customer#000134120,1782378.46
Customer#000070775,1782359.77
